fold,model,subset_accuracy,number_level_accuracy,avg_hit
0,freq_heuristic,0.0,0.7614814814814815,0.6333333333333333
0,gap_heuristic,0.0,0.7807407407407407,1.0666666666666667
0,random_baseline,0.0,0.7718518518518519,0.8666666666666667
0,logistic_regression,0.0,0.7644444444444445,0.7
1,freq_heuristic,0.0,0.7585185185185185,0.5666666666666667
1,gap_heuristic,0.0,0.7674074074074074,0.7666666666666667
1,random_baseline,0.0,0.7703703703703704,0.8333333333333334
1,logistic_regression,0.0,0.76,0.6
2,freq_heuristic,0.0,0.7703703703703704,0.8333333333333334
2,gap_heuristic,0.0,0.7674074074074074,0.7666666666666667
2,random_baseline,0.0,0.7733333333333333,0.9
2,logistic_regression,0.0,0.7659259259259259,0.7333333333333333
3,freq_heuristic,0.0,0.7688888888888888,0.8
3,gap_heuristic,0.0,0.7748148148148148,0.9333333333333333
3,random_baseline,0.0,0.7733333333333333,0.9
3,logistic_regression,0.0,0.7674074074074074,0.7666666666666667
4,freq_heuristic,0.0,0.7703703703703704,0.8333333333333334
4,gap_heuristic,0.0,0.7674074074074074,0.7666666666666667
4,random_baseline,0.0,0.7837037037037037,1.1333333333333333
4,logistic_regression,0.0,0.7718518518518519,0.8666666666666667
5,freq_heuristic,0.0,0.7851851851851852,1.1666666666666667
5,gap_heuristic,0.0,0.7688888888888888,0.8
5,random_baseline,0.0,0.7703703703703704,0.8333333333333334
5,logistic_regression,0.0,0.7748148148148148,0.9333333333333333
6,freq_heuristic,0.0,0.7718518518518519,0.8666666666666667
6,gap_heuristic,0.0,0.7659259259259259,0.7333333333333333
6,random_baseline,0.0,0.7688888888888888,0.8
6,logistic_regression,0.0,0.7733333333333333,0.9
7,freq_heuristic,0.0,0.7644444444444445,0.7
7,gap_heuristic,0.0,0.7659259259259259,0.7333333333333333
7,random_baseline,0.0,0.7777777777777778,1.0
7,logistic_regression,0.0,0.7703703703703704,0.8333333333333334
8,freq_heuristic,0.0,0.7748148148148148,0.9333333333333333
8,gap_heuristic,0.0,0.7777777777777778,1.0
8,random_baseline,0.0,0.7614814814814815,0.6333333333333333
8,logistic_regression,0.0,0.7807407407407407,1.0666666666666667
9,freq_heuristic,0.0,0.7688888888888888,0.8
9,gap_heuristic,0.0,0.7748148148148148,0.9333333333333333
9,random_baseline,0.0,0.762962962962963,0.6666666666666666
9,logistic_regression,0.0,0.7644444444444445,0.7
10,freq_heuristic,0.0,0.7644444444444445,0.7
10,gap_heuristic,0.0,0.7777777777777778,1.0
10,random_baseline,0.0,0.7718518518518519,0.8666666666666667
10,logistic_regression,0.0,0.7792592592592592,1.0333333333333334
11,freq_heuristic,0.0,0.7614814814814815,0.6333333333333333
11,gap_heuristic,0.0,0.7748148148148148,0.9333333333333333
11,random_baseline,0.0,0.7792592592592592,1.0333333333333334
11,logistic_regression,0.0,0.7748148148148148,0.9333333333333333
12,freq_heuristic,0.0,0.7614814814814815,0.6333333333333333
12,gap_heuristic,0.0,0.7733333333333333,0.9
12,random_baseline,0.0,0.7733333333333333,0.9
12,logistic_regression,0.0,0.7807407407407407,1.0666666666666667
13,freq_heuristic,0.0,0.7703703703703704,0.8333333333333334
13,gap_heuristic,0.0,0.762962962962963,0.6666666666666666
13,random_baseline,0.0,0.7644444444444445,0.7
13,logistic_regression,0.0,0.7718518518518519,0.8666666666666667
14,freq_heuristic,0.0,0.7733333333333333,0.9
14,gap_heuristic,0.0,0.7644444444444445,0.7
14,random_baseline,0.0,0.7777777777777778,1.0
14,logistic_regression,0.0,0.762962962962963,0.6666666666666666
15,freq_heuristic,0.0,0.762962962962963,0.6666666666666666
15,gap_heuristic,0.0,0.76,0.6
15,random_baseline,0.0,0.7807407407407407,1.0666666666666667
15,logistic_regression,0.0,0.7748148148148148,0.9333333333333333
16,freq_heuristic,0.0,0.7659259259259259,0.7333333333333333
16,gap_heuristic,0.0,0.7511111111111111,0.4
16,random_baseline,0.0,0.7748148148148148,0.9333333333333333
16,logistic_regression,0.0,0.7659259259259259,0.7333333333333333
17,freq_heuristic,0.0,0.7733333333333333,0.9
17,gap_heuristic,0.0,0.7570370370370371,0.5333333333333333
17,random_baseline,0.0,0.7585185185185185,0.5666666666666667
17,logistic_regression,0.0,0.7777777777777778,1.0
18,freq_heuristic,0.0,0.7659259259259259,0.7333333333333333
18,gap_heuristic,0.0,0.7807407407407407,1.0666666666666667
18,random_baseline,0.0,0.7748148148148148,0.9333333333333333
18,logistic_regression,0.0,0.7851851851851852,1.1666666666666667
